00417413-a	abrĕsih	mabrĕsih
01904845-a	abrĕsih	mabrĕsih
01905653-a	abrĕsih	mabrĕsih
01382086-a	agöṅ	magöṅ
01386883-a	agöṅ	magöṅ
02529264-a	ahaṅĕt	mahaṅĕt
00460735-a	ahĕniṅ	mahĕniṅ, ahniṅ
01905653-a	ahĕniṅ	mahĕniṅ, ahniṅ
02413390-a	ahĕniṅ	mahĕniṅ, ahniṅ
00094448-a	ahurip	mahurip
01150915-a	akas	makas
02326695-a	akas	makas
00419289-a	alĕtuh	malĕtuh
00424370-a	alĕtuh	malĕtuh
01433493-a	apañjaṅ	mapañjaṅ
01437963-a	apañjaṅ	mapañjaṅ
00417413-a	arĕsik	marĕsik, arsik
01087093-a	arĕsik	marĕsik, arsik
01904845-a	arĕsik	marĕsik, arsik
01905653-a	arĕsik	marĕsik, arsik
00166146-a	arūm	marūm
00217728-a	arūm	marūm
01052248-a	arūm	marūm
01493173-a	atasak	matasak
01210854-a	āwan	māwan
01052248-a	awaṅi	mawaṅi, waṅi
00032733-a	eṅgal	meṅgal
00935500-a	muṅup	umuṅup
00981818-a	abaṅĕt
00438707-a	abĕsus
01049462-a	abhāgya
01184932-a	abot
00703615-a	abunĕk
00113818-a	abutĕṅ
01184932-a	abwat
02410393-a	abyut
00419289-a	acokṣa
02461723-a	acor
01918984-a	acum
01922763-a	acum
00690058-a	adalĕm
00641158-a	ādara
02376277-a	aḍasih
01433493-a	adawā
01437963-a	adawā
01282014-a	adbhuta
01675190-a	adbhuta
00460735-a	adĕliṅ
01277426-a	ādi	adi
00445548-a	adoh
02517265-a	adṛśya
00818175-a	aḍusun
00505853-a	adwiti
01725712-a	agalak
02390335-a	agalak
00032733-a	agaṅsar
02238462-a	agaṅsul	aṅgaṅsul
00173220-a	agarbha
00173220-a	agarbhiṇi
01382086-a	agĕḍe
00424370-a	agĕlĕh
00113818-a	agĕlĕṅ
00094448-a	agĕsaṅ
02324397-a	agĕyuh
02541302-a	agriṅ
00744916-a	agulo
00220956-a	ahala
01131803-a	ahala
00217728-a	ahalĕp	alĕp
01727926-a	ahaliwat
01184932-a	ahantĕb
00980527-a	aharis	aris
01454636-a	aharis	aris
01918984-a	ahĕnĕṅ
01922763-a	ahĕnĕṅ
00392812-a	ahirĕṅ
02261386-a	ajer
00690058-a	ajro
02461723-a	ajuti
01488245-a	akabwatan
01493173-a	akabwatan
01749320-a	akabwatan
00294579-a	akaḍat
00980527-a	akaḍat
02263680-a	akandĕl
02410393-a	akandĕl
00842199-a	akĕkĕh
02431728-a	akĕsĕl
01140514-a	akikug
02551380-a	akiṅ
00988232-a	akiris
00744916-a	akras
02447344-a	akras
02448437-a	akras
00113818-a	akrodha
00339941-a	akumbi
01652782-a	akuñcup
00988232-a	akuru
00800826-a	alaṇḍĕp
01452593-a	alantu-lantu
01919931-a	alantu-lantu
02314584-a	alaris
00294579-a	alasa
00419289-a	alatuh
01152746-a	alĕmbut	lĕmbut
01454636-a	alĕmbut	lĕmbut
02232251-a	alĕmbut	lĕmbut
01152746-a	alĕmĕs
01152746-a	alĕmpuṅ
02415390-a	alĕmpuṅ
00986027-a	alĕmu
02236842-a	alĕṅis
02234781-a	alĕyö
02236842-a	alĕyö
01386883-a	alib	halib
00053691-a	alikĕt
02415390-a	alikĕt
01904845-a	aliṅlaṅ
01905653-a	aliṅlaṅ
00594413-a	alot
01754421-a	alot
01758339-a	alot
01265308-a	alucu	lucu
00800826-a	aluṅid	aluṅit
02232251-a	alus
01269073-a	aluwe
00595299-a	alwat
02326695-a	alwat
02234781-a	alyud
01564315-a	amam
01918984-a	amam
01922763-a	amam
01372049-a	amanis
02368336-a	amanis
02251212-a	amĕcil
01588172-a	amenak
01590115-a	amenak
01007354-a	amita
00934199-a	amurah
01749320-a	amūrṇa
02025498-a	anartha
00727564-a	anāśrita
02158826-a	andha
02158826-a	andhawibhuta	andhawibhuti
02158826-a	andhībhūta
01410363-a	aneka
00419289-a	aṅĕmĕh
00424370-a	aṅĕmĕh
02529945-a	añĕp
01791911-a	anĕpi
02238462-a	aṅgarĕgĕs
01749320-a	anindya
00988232-a	anipis
00988232-a	añiriwiṅ
00909545-a	aṅlahur	aṅlawur
02236842-a	aṅlahur	aṅlawur
02324397-a	aṅlih	aṅĕlih
01086545-a	aṅluwuṅ
00113818-a	aṅrĕgu
01847672-a	aṅsal
00122626-a	anukāri
01277426-a	anuttara
01410606-a	apaja-paja
01247240-a	apanas
02043217-a	apasagi
01410363-a	apasehan
